Epoch,Total Loss
1,0.17485755570203207
2,0.13780877479380627
3,0.12063611389726588
4,0.10830003757274236
5,0.09813829600820845
6,0.09002162478205833
7,0.08325016924020802
8,0.07745840915571611
9,0.07232774433305007
10,0.06777800542550827
11,0.0637324911005975
12,0.06014234413419282
13,0.05695844260570224
14,0.05413399312376835
15,0.051635904166218875
16,0.04943760456936245
17,0.04742109253054272
18,0.04540977387147723
19,0.043387901677685914
20,0.04157865990307575
21,0.039933447124635896
22,0.03842792179470885
23,0.037052979079271804
24,0.035800110515333446
25,0.034656103749993505
26,0.03361750441075945
27,0.032672549091473595
28,0.031803093835663064
29,0.03098254542948593
30,0.03017967066534906
31,0.029412708199519712
32,0.028702083048572562
33,0.02802618182030463
34,0.02741426936231342
35,0.02699578708191266
36,0.026428022313792987
37,0.02594075698632392
38,0.025550719058213087
39,0.025241011599524864
40,0.024954295189672727
41,0.024724142963847697
42,0.024529228548195295
43,0.024622216617631313
44,0.027051414727479694
45,0.02527697567321142
46,0.024781685875917947
47,0.024575578290906657
48,0.02436690803504954
49,0.024184590338722778
50,0.024059197025542184
